source -> target
https://www.mediamatters.org/ -> https://www.mediamatters.org/health-care/millions-were-stripped-abortion-rights-mainstream-outlets-uplifted-these-five-anti
https://www.mediamatters.org/ -> https://www.mediamatters.org/submissions
https://www.mediamatters.org/ -> https://www.mediamatters.org/daily-wire/congressional-same-sex-marriage-bill-dividing-right-wing-media
https://www.mediamatters.org/ -> https://www.mediamatters.org/local-news/tennessee-newspaper-coverage-drag-ban-fails-states-lgbtq-community-0
https://www.mediamatters.org/ -> https://www.mediamatters.org/#instagram
https://www.mediamatters.org/ -> https://www.mediamatters.org/lisa-kennedy-montgomery/fox-host-academic-terrorism-so-prevalent-throughout-campuses-across-country
https://www.mediamatters.org/ -> https://www.mediamatters.org/climate-energy
https://www.mediamatters.org/ -> https://www.mediamatters.org/mike-lindell/mike-lindell-funding-numerous-qanon-supporting-figures-and-other-extremists-mypillow
https://www.mediamatters.org/ -> https://www.mediamatters.org/news-analysis
https://www.mediamatters.org/ -> https://action.mediamatters.org/secure/donate
https://www.mediamatters.org/ -> https://www.mediamatters.org/fox-news/what-absurd-woke-bank-svb-talking-point-says-about-gops-inability-talk-about-policy
https://www.mediamatters.org/ -> https://www.mediamatters.org/ben-shapiro/ben-shapiro-predicts-possible-soft-version-brexit-united-states
https://www.mediamatters.org/ -> https://www.mediamatters.org/fox-news/50-ways-fox-news-reacted-uvalde-massacre-without-mentioning-access-guns
https://www.mediamatters.org/ -> https://www.mediamatters.org/fox-news/fox-news-creates-fake-presidential-campaign-vivek-ramaswamy
https://www.mediamatters.org/ -> https://www.mediamatters.org/privacy
https://www.mediamatters.org/ -> https://www.mediamatters.org/foxdominion-lawsuit/foxs-anti-woke-campaign-has-network-attacking-its-own-shareholders
https://www.mediamatters.org/ -> https://www.mediamatters.org/#article
https://www.mediamatters.org/ -> https://www.mediamatters.org/?page=0
https://www.mediamatters.org/ -> https://www.mediamatters.org/search
https://www.mediamatters.org/ -> https://www.mediamatters.org/fox-news/tucker-carlson-calls-2020-election-biggest-scam-my-lifetime-followed-january-6
https://www.mediamatters.org/ -> https://www.mediamatters.org/corrections
https://www.mediamatters.org/ -> https://www.mediamatters.org/foxdominion-lawsuit/rupert-murdoch-allowed-fox-promote-legal-theory-used-justify-overturning-2020
https://www.mediamatters.org/ -> https://www.mediamatters.org/job-openings
https://www.mediamatters.org/ -> https://www.mediamatters.org/about
https://www.mediamatters.org/ -> https://www.mediamatters.org/sites/default/files/css/css_oGZ7OLJDM4FApNs8xyoZMUIkjUZCXrNP16OA9NXAcMA.css
https://www.mediamatters.org/ -> https://www.mediamatters.org/foxdominion-lawsuit
https://www.mediamatters.org/ -> https://use.typekit.net/jqh3ujo.css
https://www.mediamatters.org/ -> https://www.mediamatters.org/rumble/ads-netflix-are-appearing-next-holocaust-denial-videos-rumble
https://www.mediamatters.org/ -> https://www.mediamatters.org/steve-deace/blazetv-host-steve-deace-trump-poisoned-americans-operation-warp-speed-because-hes
https://www.mediamatters.org/ -> https://www.mediamatters.org/pbs/pbs-outperforms-its-corporate-broadcast-counterparts-2022-climate-coverage
https://www.mediamatters.org/ -> https://www.mediamatters.org/contact-us
https://www.mediamatters.org/ -> https://www.mediamatters.org/elon-musk/new-coalition-letter-urges-top-twitter-advertisers-protect-their-brand-safety-it-too-late
https://www.mediamatters.org/ -> https://www.facebook.com/Mediamatters/
https://www.mediamatters.org/ -> https://www.mediamatters.org/bret-baier/fox-news-anchors-argued-viewers-feelings-override-statistics-and-numbers-networks-2020
https://www.mediamatters.org/ -> https://www.mediamatters.org/foxdominion-lawsuit/embracing-election-denialism-fox-corp-seemingly-defied-what-its-shareholders
https://www.mediamatters.org/ -> https://www.mediamatters.org/abc/how-broadcast-tv-networks-covered-climate-change-2022
https://www.mediamatters.org/ -> https://www.mediamatters.org/foxdominion-lawsuit/contradictory-defamation-lawsuits-murdochs-attempt-have-it-both-ways-free
https://www.mediamatters.org/ -> https://www.mediamatters.org/fox-news/they-knew-it-was-lie-behind-scenes-happenings-fox-while-network-pushed-false-claims-about
https://www.mediamatters.org/ -> https://www.mediamatters.org/#study
https://www.mediamatters.org/ -> https://www.instagram.com/mediamattersforamerica/
https://www.mediamatters.org/ -> https://www.mediamatters.org/#facebook
https://www.mediamatters.org/ -> https://www.mediamatters.org/#search
https://www.mediamatters.org/ -> https://www.mediamatters.org/fox-news/fox-news-staffers-agree-fox-not-news-organization
https://www.mediamatters.org/ -> https://www.mediamatters.org/fox-news/50-lies-and-conspiracy-theories-fox-news-has-spread-about-elections-january-6-2023
https://www.mediamatters.org/ -> https://www.mediamatters.org/foxdominion-lawsuit/10-things-you-might-have-missed-dominion-filings
https://www.mediamatters.org/ -> https://www.mediamatters.org/foxdominion-lawsuit/fox-news-ceo-asked-evidence-network-pushed-big-lie-her-pr-chief-replied-dozens
https://www.mediamatters.org/ -> https://www.mediamatters.org/angelo-carusone/angelo-carusone-there-will-be-cascading-consequences-fox-news-dominion-lawsuit-and
https://www.mediamatters.org/ -> https://www.mediamatters.org/studies
https://www.mediamatters.org/ -> https://www.mediamatters.org/fox-news/media-matters-filed-complaint-fec-over-rupert-murdoch-sharing-confidential-information
https://www.mediamatters.org/ -> https://www.mediamatters.org/infowars/far-right-media-trumpet-conspiracy-theory-buffalo-and-uvalde-mass-shootings-were-false
https://www.mediamatters.org/ -> https://www.mediamatters.org/terms-conditions
https://www.mediamatters.org/ -> https://www.mediamatters.org/steve-deace/blazetv-host-steve-deace-pedo-groomers-should-be-executed-way-after-fair-trial-course
https://www.mediamatters.org/ -> https://www.mediamatters.org/audio-video
https://www.mediamatters.org/ -> https://www.mediamatters.org/health-care/more-people-turn-abortion-medication-right-wing-media-pivot-attacking-it
https://www.mediamatters.org/ -> https://www.mediamatters.org/broadcast-networks/how-broadcast-tv-news-covered-environmental-justice-2022
https://www.mediamatters.org/ -> https://www.mediamatters.org/#arrow
https://www.mediamatters.org/ -> https://www.mediamatters.org/fox-news/foxs-outkick-hires-curt-schilling-qanon-and-parkland-shooting-conspiracy-theorist
https://www.mediamatters.org/ -> https://www.mediamatters.org/fox-news/senate-floor-sen-patty-murray-d-wa-calls-out-fox-news-and-rupert-murdoch-pushing
https://www.mediamatters.org/ -> https://www.mediamatters.org/fox-news/fox-news-host-says-kamala-harris-sounds-woman-bar-her-fourth-skinny-margarita
https://www.mediamatters.org/ -> https://www.mediamatters.org/abortion-rights-and-reproductive-health
https://www.mediamatters.org/ -> https://www.mediamatters.org/sites/default/files/css/css_RU1WYR7X70QjhvL62_lE-Mmsn10zn8D85_M4ztVfCCs.css
https://www.mediamatters.org/ -> https://www.mediamatters.org/#main-content
https://www.mediamatters.org/ -> https://www.mediamatters.org/lgbtq
https://www.mediamatters.org/ -> https://www.mediamatters.org/foxdominion-lawsuit/lachlan-murdoch-sheepishly-denies-what-crystal-clear-fox-knew-it-was-spreading
